;TickerID|52WeeksHigh|52WeeksLow|sysdate=20130201|Symbol|LongName|FirstDate|Remark|ForeignAvail|PrevNvol
KBAN27C1903A| | | | | | | |0|0
CKP19C2104A| | | | | | | |0|0
TVO13C2106A| | | | | | | |0|0
STEC19C1906A| | | | | | | |0|0
HSI41P2009D| | | | | | | |0|0
HSI41P2009C| | | | | | | |0|0
FN-R| | | | | | | |0|3876900
HSI41P2009B| | | | | | | |0|0
BTS13C2009A| | | | | | | |0|0
HSI41P2009A| | | | | | | |0|0
BGRI28C2002A| | | | | | | |0|0
PWA54/04/15Y| | | | | | | |0|0
BBL13P1906A| | | | | | | |0|0
FN-F| | | | | | | |0|0
HMPR19C2005A| | | | | | | |0|0
RS41C2110A| | | | | | | |0|4566400
ETA206A| | | | | | | |0|0
CBG13C2106A| | | | | | | |0|0
BEM28C2109A| | | | | | | |0|0
AWC13P2006A| | | | | | | |0|0
OSP16C2008A| | | | | | | |0|0
PTT24C2101A| | | | | | | |0|0
BMTA57/09/8Y| | | | | | | |0|0
HSI41P2008C| | | | | | | |0|0
HSI41P2008B| | | | | | | |0|0
BTS13C2008A| | | | | | | |0|0
STA13P2012B| | | | | | | |0|0
HSI41P2008A| | | | | | | |0|0
STA13P2012A| | | | | | | |0|0
IVL| | | | | | | |1657929324|31963800
SRT56/16/3Y| | | | | | | |0|0
SSPF| | | | | | | |0|788500
BEM28C2108L| | | | | | | |0|0
STGT_FUT| | | | | | | |0|0
KTC01P2001A| | | | | | | |0|0
BEM13C2007A| | | | | | | |0|0
CBG13C2105A| | | | | | | |0|0
CHG_FUT| | | | | | | |0|0
KBAN01C1904B| | | | | | | |0|0
KBAN01C1904A| | | | | | | |0|0
PWA54/03/8Y| | | | | | | |0|0
TOP23C1906A| | | | | | | |0|0
CKP19C2102A| | | | | | | |0|0
SRT54/03/12Y| | | | | | | |0|0
BMTA50/04/8Y| | | | | | | |0|0
BJC06C2110A| | | | | | | |0|9511000
KTB01C2003A| | | | | | | |0|0
WHAU19C2111A| | | | | | | |0|27678100
HSI41P2007C| | | | | | | |0|0
HSI41P2007B| | | | | | | |0|0
AEON06C2105A| | | | | | | |0|0
HSI41P2007A| | | | | | | |0|0
CPAL24C2103A| | | | | | | |0|0
KKP08C2003A| | | | | | | |0|0
TLOAN62/02/19.54Y| | | | | | | |0|0
HMPR19C2003A| | | | | | | |0|0
TTB_FUT| | | | | | | |0|0
PTTG13P2012A| | | | | | | |0|0
TLOAN46/01/10Y| | | | | | | |0|0
CBG13C2104A| | | | | | | |0|0
CKP01C1911B| | | | | | | |0|0
BEM28C2107A| | | | | | | |0|0
CKP01C1911A| | | | | | | |0|0
CKP19C2101A| | | | | | | |0|0
TVO13C2103A| | | | | | | |0|0
MWA48/03/7Y| | | | | | | |0|0
SV_Futures_Combo| | | | | | | |0|0
HSI41P2006B| | | | | | | |0|0
BTS13C2006A| | | | | | | |0|0
STA13P2010B| | | | | | | |0|0
HSI41P2006A| | | | | | | |0|0
STA13P2010A| | | | | | | |0|0
ITD| | | | | | | |1364122736|78876700
ETA203C| | | | | | | |0|0
PTTG13P2011A| | | | | | | |0|0
ETA203B| | | | | | | |0|0
ETA203A| | | | | | | |0|0
CRD-R| | | | | | | |0|1269800
BLA13C1902A| | | | | | | |0|0
BTS08C1911A| | | | | | | |0|0
AWC13P2003A| | | | | | | |0|0
QH13C1909A| | | | | | | |0|0
CRD-F| | | | | | | |0|0
BOT54/01/4Y| | | | | | | |0|0
BGRI19C2012A| | | | | | | |0|0
DOHO01C2109A| | | | | | | |0|5590700
HSI41P2005A| | | | | | | |0|0
SMPC-R| | | | | | | |0|1488500
TLOAN53/01/13Y| | | | | | | |0|0
BCPG01C2109A| | | | | | | |0|0
HYDRO-W1| | | | | | | |0|2015500
BEM13C2004A| | | | | | | |0|0
SRT56/04/3Y| | | | | | | |0|0
PTTG13P2010A| | | | | | | |0|0
CBG13C2102A| | | | | | | |0|0
KBAN01C1901B| | | | | | | |0|0
KBAN01C1901A| | | | | | | |0|0
SMPC-F| | | | | | | |0|0
AWC13P2002A| | | | | | | |0|0
STEC19C1901A| | | | | | | |0|0
BOT54/01/3Y| | | | | | | |0|0
BGRI19C2011A| | | | | | | |0|0
AP_Futures_Combo| | | | | | | |0|0
KCE41C2012A| | | | | | | |0|0
CPF24C2105A| | | | | | | |0|0
BEM28C2104L| | | | | | | |0|0
IRC| | | | | | | |24579220|159600
GFPT19C1912A| | | | | | | |0|0
CBG13C2101A| | | | | | | |0|0
PEA219A| | | | | | | |0|0
BEM28C2104A| | | | | | | |0|0
TRUE28C1911B| | | | | | | |0|0
SRT50/08/5Y| | | | | | | |0|0
TRUE28C1911A| | | | | | | |0|0
SRT217A| | | | | | | |0|0
MINT41P1912A| | | | | | | |0|0
IHL-W1-R| | | | | | | |0|0
GVREIT| | | | | | | |814392597|376600
GHB53/04/15Y| | | | | | | |0|0
BTS13C2003A| | | | | | | |0|0
BOT54/01/2Y| | | | | | | |0|0
DOHO01C2107A| | | | | | | |0|368700
PTTG41P2011A| | | | | | | |0|0
PTT01P2108A| | | | | | | |0|9000
EGAT52/13/10Y| | | | | | | |0|0
BEM13C2002A| | | | | | | |0|0
PTTE01P2109A| | | | | | | |0|1658400
PROEN| | | | | | | |154840000|3711300
BCP_Futures_Combo| | | | | | | |0|0
BEM28C2103B| | | | | | | |0|0
TFMAMA-R| | | | | | | |0|7900
BEM28C2103A| | | | | | | |0|0
